0  AtomicRadius[A]  CovalentRadius[A]  AtomicMass  BoilingPoint[K]  MeltingPoint[K]  Density[g/ccm]  AtomicVolume  CoherentScatteringLength[1E-12cm]  IncoherentX-section[barn]  Absorption@1.8A[barn]  DebyeTemperature[K]  ThermalConductivity[W/cmK]
1  0.79  0.32 1.00794 20.268 14.025 0.0899 14.4 -0.374 79.9 0.3326  -0.01 -0.01
2  0.49  0.93 4.002602 4.215 0.95 0.1787 0.0 0.326 0.0 0.00747  -0.01 -0.01
3  2.05  1.23 6.941 1615 453.7 0.53 13.10 -0.190 0.91 70.5  344 0.85
4  1.40  0.90 9.012182 2745 1560.0 1.85 5.0 0.779 0.005 0.0076  1440 2.00
5  1.17  0.82 10.811 4275 2300.0 2.34 4.6 0.530 1.7 767.0  -0.01 0.27
6  0.91  0.77 12.011 4470.0 4100.0 2.26 4.58 0.6648 0.001 0.0035  2230 1.29
7  0.75  0.75 14.00674 77.35 63.14 1.251 17.3 0.936 0.49 1.90  -0.01 -0.01
8  0.65  0.73 15.9994 90.18 50.35 1.429 14.0 0.5805 0.000 0.00019  -0.01 -0.01
9  0.57  0.72 18.9984032 84.95 53.48 1.696 17.1 0.5654 0.0008 0.0096  -0.01 -0.01
10  0.51  0.71 20.1797 27.096 24.553 0.901 16.7 0.4547 0.008 0.039  74 -0.01
11  2.23  1.54 22.989768 1156 371.0 0.97 23.7 0.363 1.62 0.530  158 1.41
12  1.72  1.36 24.3050 1363 922 1.74 13.97 0.5375 0.077 0.063  400 1.56
13  1.82  1.18 26.981539 2793 933.25 2.70 10.0 0.3449 0.0085 0.231  428 2.37
14  1.46  1.11 28.0855 3540.0 1685 2.33 12.1 0.4149 0.015 0.171  645 1.48
15  1.23  1.06 30.97362 550.0 317.30 1.82 17.0 0.513 0.006 0.172  -0.01 -0.01
16  1.09  1.02 32.066 717.75 388.36 2.07 15.5 0.2847 0.007 0.53  -0.01 -0.01
17  0.97  0.99 35.4527 239.1 172.16 3.17 22.7 0.95792 5.2 33.5  -0.01 -0.01
18  0.88  0.98 39.948 87.30 83.81 1.784 28.5 0.1909 0.22 0.675  92 -0.01
19  2.77  2.03 39.0983 1032 336.35 0.86 45.46 0.371 0.25 2.1  91 1.02
20  2.23  1.91 40.078 1757 1112 1.55 29.9 0.490 0.03 0.43  230 -0.01
21  2.09  1.62 44.955910 3104 1812 3.0 15.0 1.229 4.5 27.2  360 0.16
22  2.00  1.45 47.88 3562 1943 4.50 10.64 -0.330 2.67 6.09  420 0.22
23  1.92  1.34 50.9415 3682 2175 5.8 8.78 -0.0382 5.187 5.08  380 0.31
24  1.85  1.18 51.9961 2945 2130.0 7.19 7.23 0.3635 1.83 3.07  630 0.94
25  1.79  1.17 54.93085 2335 1517 7.43 1.39 -0.373 0.40 13.3  410 0.08
26  1.72  1.17 55.847 3135 1809 7.86 7.1 0.954 0.39 2.56  470 0.80
27  1.67  1.16 58.93320 3201 1768 8.90 6.7 0.250 4.8 37.18  445 1.00
28  1.62  1.15 58.69 3187 1726 8.90 6.59 1.03 5.2 4.49  450 0.91
29  1.57  1.17 63.546 2836 1357.6 8.96 7.1 0.7718 0.52 3.78  343 4.01
30  1.53  1.25 65.39 1180.0 692.73 7.14 9.2 0.5680 0.077 1.11  327 1.16
31  1.81  1.26 69.723 2478 302.90 5.91 11.8 0.7288 0.0 2.9  320 0.41
32  1.52  1.22 72.61 3107 1210.4 5.32 13.6 0.81929 0.17 2.3  374 0.6
33  1.33  1.20 74.92159 876 1081 5.72 13.1 0.658 0.060 4.5  282 0.50
34  1.22  1.16 78.96 958 494 4.80 16.45 0.797 0.33 11.7  90 0.02
35  1.12  1.14 79.904 332.25 265.90 3.12 23.5 0.679 0.10 6.9  -0.01 -0.01
36  1.03  1.12 83.80 119.80 115.78 3.74 38.9 0.780 0.03 25.  72 -0.01
37  2.98  2.16 85.4678 961 312.64 1.53 55.9 0.708 0.3 0.38  56 0.58
