#F f0_dabax.dat
#D Fri May  2 09:38:54 2008
#UT Parametrization of f0 (the non-dispersive part of the atomic scttering factor) vs sin(theta/lambda).
#UF0TYPE PARAMETRIZATION ; TABLE OR PARAMETRIZATION? 
#UIDL xf0
#C This file has been created using f0_xop.pro 
#C  This file belongs to the DABAX library. More information on
#C  DABAX can be found at:
#C  http://ftp.esrf.eu/pub/scisoft/DabaxFiles/
#UD Parametrization of f0 (the non-dispersive part of the atomic scttering factor) vs sin(theta/lambda).
#UD This file contains a Waasmaier&Kirfel-like parametrization 
#UD for the f0 data evaluated by Kissel using modified relativistic form
#UD factor [1]. For the fitting, model and the data error as in [2] are used.
#UD The parametrization was calculating by fitting the 
#UD original data in the RTAB database [1] (also in the DABAX file
#UD f0_mf_Kissel.dat) using the MPFIT IDL procedure of Markwardt
#UD (http://cow.physics.wisc.edu/~craigm/idl/idl.html) usind the 
#UD function [2]:
#UD    f0[k] = c + [SUM a_i*EXP(-b_i*(k^2)) ]
#UD                i=1,5
#UD
#UD  where k = sin(theta) / lambda and c, a_i and b_i
#UD  are the coefficients tabulated in this file (in columns:
#UD  a1  a2  a3  a4  a5  c  b1  b2  b3  b4  b5
#UD 
#UD References
#UD [1] L. Kissel, Radiation physics and chemistry 59 (2000) 185-200
#UD     available at: 
#UD     http://www-phys.llnl.gov/Research/scattering/RTAB.html
#UD [2] D. Waasmaier & A. Kirfel (Acta Cryst. (1995). A51, 416-413)
#UD 
#UD 
#UD  Remarks:
#UD  1) This file contains data for only neutral atoms. For ionic states
#UD     other DABAX files (like f0_WaasKirf.dat) could be used. 
#UD  2) The coefficients in this file are prepared for xop2.1 and are
#UD     unpublished. Some fitting parameters can be found in the keywords
#UD     for each element. The IDL program used to create it is available
#UD     under request (contact srio@esrf.fr) 
#UD  3) We created this file for being used as a default for XOP2.1. The 
#UD     reasons were two:
#UD     i) It is more practical to use a parametrization rather than to use 
#UD        the direct fata in file f0_mf.dat because of spped and storage 
#UD        reasons. 
#UD     ii) The previous defaulty file for XOP 2.0 was f0_WaasKirf.dat, which
#UD        contained a published parametrization [2], but the original data 
#UD        is from the International Tables for X-ray Crystallography, vol C,
#UD        (1995) Edited by AJC Wilson, Kluwer Academic Press, table 6.1.1.3
#UD        which contains data from multiple origins (and references). We 
#UD        prefer to use evaluated data in the same conditions for all elements
#UD        to keep some consistency in their origin.
#UD        Additionally, Kissel data for f1f2 and CrossSec are also used in XOP.
#UD 
#UD Column description: a1  a2  a3  a4  a5  c  b1  b2  b3 b4  b5
#UD 
#UD 
#UD Modified 2005-05-02 srio@esrf.eu, fixed WaasKird data in guess keyword

#S  1  H 
#N 11
#L a1  a2  a3  a4  a5  c  b1  b2  b3  b4  b5
#UO MPFIT End status:        7
#UO MPFIT Iterations:           41
#UO MPFIT Parameter error: [0.028242309,0.020248385,0.014038977,0.028629525,0.0023277653,6.4330346e-05,0.86729996,1.7325327,0.37672770,3.1751691,0.12257234]
#UO MPFIT Standard Dev:    1.1616029e-05
#UO MPFIT Max relative dev:        10.269206
#UO MPFIT Average relative dev:       0.68612216
#UP MPFIT guess (Waasmaier&Kirfel) data:      0.41304800     0.29495300     0.18749100     0.08070100     0.02373600     0.00004900    15.56994600    32.39846800     5.71140400    61.88987400     1.33411800
     0.30426303     0.45440815     0.07977026     0.15268426     0.00871624     0.00006937     9.61768510    23.52152246     3.33237545    53.49579285     0.80301704
#S  2  He
#N 11
#L a1  a2  a3  a4  a5  c  b1  b2  b3  b4  b5
#UO MPFIT End status:        7
#UO MPFIT Iterations:           19
#UO MPFIT Parameter error: [0.016736395,0.017749382,0.015191345,0.020244339,0.0031724104,8.9721539e-05,0.33981851,0.15627573,0.058098516,0.67729736,0.018744624]
#UO MPFIT Standard Dev:    3.0709220e-05
#UO MPFIT Max relative dev:        2.0887328
#UO MPFIT Average relative dev:       0.13728398
#UP MPFIT guess (Waasmaier&Kirfel) data:      0.73235400     0.75389600     0.28381900     0.19000300     0.03913900     0.00048700    11.55391800     4.59583100     1.54629900    26.46396400     0.37752300
     0.79971010     0.63926998     0.25291139     0.27260951     0.03475295     0.00044196    10.35354478     3.93677741     1.38554540    25.50380187     0.34363759
#S  3  Li
#N 11
#L a1  a2  a3  a4  a5  c  b1  b2  b3  b4  b5
#UO MPFIT End status:        7
#UO MPFIT Iterations:           13
#UO MPFIT Parameter error: [0.0050036842,0.0022863967,0.018499716,0.018885788,0.0037823269,8.9568668e-05,0.015837983,0.0030801135,0.95469155,3.3852740,0.0083249231]
#UO MPFIT Standard Dev:    0.00044095927
#UO MPFIT Max relative dev:        2.1208866
#UO MPFIT Average relative dev:       0.15257155
#UP MPFIT guess (Waasmaier&Kirfel) data:      0.97463700     0.15847200     0.81185500     0.26241600     0.79010800     0.00254200     4.33494600     0.34245100    97.10296600   201.36383100     1.40923400
     0.93188799     0.17034671     0.71602201     0.35839485     0.82020547     0.00260460     4.17494209     0.33818181    85.52950781   175.66836887     1.37984909
#S  4  Be
#N 11
#L a1  a2  a3  a4  a5  c  b1  b2  b3  b4  b5
#UO MPFIT End status:        7
#UO MPFIT Iterations:            7
#UO MPFIT Parameter error: [0.0085500529,0.0047641311,0.0088815852,0.0038541638,0.0072350810,0.00016266461,0.13671716,0.0067767463,0.49716758,0.0029587052,0.0080516167]
#UO MPFIT Standard Dev:    0.00011150408
#UO MPFIT Max relative dev:       0.35613746
#UO MPFIT Average relative dev:      0.020819180
#UP MPFIT guess (Waasmaier&Kirfel) data:      1.53371200     0.63828300     0.60105200     0.10613900     1.11841400     0.00251100    42.66207900     0.59542000    99.10649900     0.15134000     1.84309300
     1.35769775     0.71952631     0.76849159     0.14970777     0.99985829     0.00347440    37.89541686     0.66643295    92.11060309     0.17800503     1.90321664
#S  5  B 
#N 11
#L a1  a2  a3  a4  a5  c  b1  b2  b3  b4  b5
#UO MPFIT End status:        7
#UO MPFIT Iterations:            8
#UO MPFIT Parameter error: [0.0037448963,0.012340197,0.0040320409,0.0069991748,0.0074347357,0.00032101190,0.030779507,0.0075726446,0.16044276,0.0032038851,0.0073583412]
#UO MPFIT Standard Dev:    0.00057588270
#UO MPFIT Max relative dev:      0.095347398
#UO MPFIT Average relative dev:     0.0050482728
#UP MPFIT guess (Waasmaier&Kirfel) data:      2.08518500     1.06458000     1.06278800     0.14051500     0.64178400     0.00382300    23.49406800     1.13789400    61.23897600     0.11488600     0.39903600
     2.11021585     0.94826030     1.03175074     0.17991800     0.72039282     0.00538888    21.36228681     1.17425000    65.42872639     0.12888999     0.44259026
#S  6  C 
#N 11
#L a1  a2  a3  a4  a5  c  b1  b2  b3  b4  b5
#UO MPFIT End status:        7
#UO MPFIT Iterations:          130
#UO MPFIT Parameter error: [0.0031954619,0.0045084443,0.0034379351,5310.0977,0.0040101797,5310.0988,0.013130263,0.0023668901,0.072282004,0.0019445261,0.0013928753]
#UO MPFIT Standard Dev:     0.0014607438
#UO MPFIT Max relative dev:       0.23856377
#UO MPFIT Average relative dev:      0.014253162
#UP MPFIT guess (Waasmaier&Kirfel) data:      2.65750600     1.07807900     1.49090900    -4.24107000     0.71379100     4.29798300    14.78075800     0.77677500    42.08684200    -0.00029400     0.23953500
     2.75491071     1.06083859     1.39000885   -61.38969569     0.72824752    61.44921510    13.55853062     0.76518509    43.40152845    -0.00002249     0.23756415
#S  7  N 
#N 11
#L a1  a2  a3  a4  a5  c  b1  b2  b3  b4  b5
#UO MPFIT End status:        7
#UO MPFIT Iterations:           95
#UO MPFIT Parameter error: [0.0031499736,0.014796608,0.015971976,0.026347319,0.0028873001,0.00023637695,0.00057526138,0.17499855,0.47264382,0.036065768,0.0012390661]
#UO MPFIT Standard Dev:    0.00018562500
#UO MPFIT Max relative dev:       0.16323054
#UO MPFIT Average relative dev:      0.010618552
#UP MPFIT guess (Waasmaier&Kirfel) data:     11.89378000     3.27747900     1.85809200     0.85892700     0.91298500   -11.80490200     0.00015800    10.23272300    30.34469000     0.65606500     0.21728700
     0.59731711     2.28313328     0.63580984     2.26859990     1.18920099     0.02241857     0.13665445    17.86124963    47.32019642     7.67047709     0.49262938
#S  8  O 
#N 11
#L a1  a2  a3  a4  a5  c  b1  b2  b3  b4  b5
#UO MPFIT End status:        7
#UO MPFIT Iterations:            8
#UO MPFIT Parameter error: [0.013715634,0.023505099,0.0043571911,0.013688094,0.0041327877,0.00036514444,0.090821120,0.021411812,0.00062419672,0.25121764,0.0012955191]
#UO MPFIT Standard Dev:    9.1789663e-05
#UO MPFIT Max relative dev:      0.070130529
#UO MPFIT Average relative dev:     0.0045335268
#UP MPFIT guess (Waasmaier&Kirfel) data:      2.96042700     2.50881800     0.63785300     0.72283800     1.14275600     0.02701400    14.18225900     5.93685800     0.11272600    34.95848100     0.39024000
     2.85010001     2.54410664     0.64919585     0.79765894     1.12558170     0.02853916    12.89518279     5.45538842     0.11296751    35.32893278     0.38721225
#S  9  F 
#N 11
#L a1  a2  a3  a4  a5  c  b1  b2  b3  b4  b5
#UO MPFIT End status:        7
#UO MPFIT Iterations:            9
#UO MPFIT Parameter error: [0.013191490,0.021742494,0.0063541073,0.012256233,0.0061735716,0.00059448818,0.053926653,0.014254831,0.00072822774,0.15194468,0.0015433567]
#UO MPFIT Standard Dev:    8.4747049e-05
#UO MPFIT Max relative dev:      0.034964156
#UO MPFIT Average relative dev:     0.0021204799
